\\ Load Data
\\Index, Label, Node, Phases, Model
145, house3_tm_441, 243, BS, HOUSE
146, house4_tm_441, 243, BS, HOUSE
147, house1_tm_479, 247, AS, HOUSE
148, house2_tm_479, 247, AS, HOUSE
149, house3_tm_479, 247, AS, HOUSE
150, house1_tm_314, 248, CS, HOUSE
151, house2_tm_314, 248, CS, HOUSE
152, house1_tm_319, 250, AS, HOUSE
153, house2_tm_319, 250, AS, HOUSE
154, house1_tm_421, 257, AS, HOUSE
155, house2_tm_421, 257, AS, HOUSE
156, house3_tm_421, 257, AS, HOUSE
157, house1_tm_365, 260, AS, HOUSE
158, house2_tm_365, 260, AS, HOUSE
159, house3_tm_365, 260, AS, HOUSE
160, house1_tm_366, 261, BS, HOUSE
161, house1_tm_367, 262, CS, HOUSE
162, house1_tm_418, 267, AS, HOUSE
163, house1_tm_419, 268, BS, HOUSE
164, house1_tm_420, 269, CS, HOUSE
165, house2_tm_420, 269, CS, HOUSE
166, house3_tm_420, 269, CS, HOUSE
167, house4_tm_420, 269, CS, HOUSE
168, house1_tm_440, 271, BS, HOUSE
169, house2_tm_440, 271, BS, HOUSE
170, house3_tm_440, 271, BS, HOUSE
171, house4_tm_440, 271, BS, HOUSE
172, house1_tm_455, 272, AS, HOUSE
173, house2_tm_455, 272, AS, HOUSE
174, house3_tm_455, 272, AS, HOUSE
175, house4_tm_455, 272, AS, HOUSE
176, house1_tm_315, 274, CS, HOUSE
177, house2_tm_315, 274, CS, HOUSE
178, house1_tm_374, 278, CS, HOUSE
179, house2_tm_374, 278, CS, HOUSE
180, house1_tm_364, 283, AS, HOUSE
181, house2_tm_364, 283, AS, HOUSE
182, house3_tm_364, 283, AS, HOUSE
183, house1_tm_368, 286, AS, HOUSE
184, house2_tm_368, 286, AS, HOUSE
185, house3_tm_368, 286, AS, HOUSE
186, house1_tm_369, 287, BS, HOUSE
187, house1_tm_370, 288, CS, HOUSE
188, house1_tm_454, 289, AS, HOUSE
189, house2_tm_454, 289, AS, HOUSE
190, house3_tm_454, 289, AS, HOUSE
191, house4_tm_454, 289, AS, HOUSE
192, house1_tm_379, 290, CS, HOUSE
193, house2_tm_379, 290, CS, HOUSE
194, house1_tm_375, 295, BS, HOUSE
195, house2_tm_375, 295, BS, HOUSE
196, house3_tm_375, 295, BS, HOUSE
197, house4_tm_375, 295, BS, HOUSE
198, house5_tm_375, 295, BS, HOUSE
199, house1_tm_376, 298, BS, HOUSE
200, house2_tm_376, 298, BS, HOUSE
201, house3_tm_376, 298, BS, HOUSE
202, house4_tm_376, 298, BS, HOUSE
203, house5_tm_376, 298, BS, HOUSE
204, house1_tm_380, 303, CS, HOUSE
205, house2_tm_380, 303, CS, HOUSE
206, house3_tm_380, 303, CS, HOUSE
207, house1_tm_382, 306, CS, HOUSE
208, house2_tm_382, 306, CS, HOUSE
209, house3_tm_382, 306, CS, HOUSE
210, house1_tm_377, 309, BS, HOUSE
211, house2_tm_377, 309, BS, HOUSE
212, house3_tm_377, 309, BS, HOUSE
213, house4_tm_377, 309, BS, HOUSE
214, house5_tm_377, 309, BS, HOUSE
215, house1_tm_378, 310, BS, HOUSE
216, house2_tm_378, 310, BS, HOUSE
217, house3_tm_378, 310, BS, HOUSE
218, house4_tm_378, 310, BS, HOUSE
219, house1_tm_371, 314, AS, HOUSE
220, house2_tm_371, 314, AS, HOUSE
221, house1_tm_381, 315, CS, HOUSE
222, house2_tm_381, 315, CS, HOUSE
223, house3_tm_381, 315, CS, HOUSE
224, house1_tm_383, 316, CS, HOUSE
225, house2_tm_383, 316, CS, HOUSE
226, house3_tm_383, 316, CS, HOUSE
227, house1_tm_372, 319, BS, HOUSE
228, house2_tm_372, 319, BS, HOUSE
229, house1_tm_373, 320, CS, HOUSE
230, house2_tm_373, 320, CS, HOUSE
